beginTime,classType,EventOccurred
2021-10-15T15:01Z,B9.7,0
2021-10-25T03:25Z,B3.7,0
2021-10-26T02:40Z,M1.3,1
2021-10-26T09:08Z,C1.0,1
2021-10-26T15:42Z,M1.0,1
2021-10-27T21:53Z,C1.1,1
2021-10-28T07:34Z,M1.4,1
2021-10-28T10:19Z,M2.2,1
2021-10-28T15:17Z,X1.0,1
2021-10-29T02:22Z,M1.5,1
2021-10-31T06:53Z,C2.9,1
2021-11-01T00:57Z,M1.5,1
2021-11-01T17:28Z,C1.3,1
2021-11-01T20:54Z,C4.0,1
2021-11-02T02:03Z,M1.6,1
2021-11-02T02:57Z,M1.7,1
2021-11-03T20:56Z,C5.2,1
2021-11-09T15:47Z,M2.0,1
2021-12-04T04:43Z,C4.2,1
2021-12-04T15:04Z,C1.8,1
2021-12-04T23:21Z,C7.1,1
2021-12-05T06:58Z,M1.4,1
2021-12-15T01:36Z,C2.1,1
2021-12-16T03:44Z,C1.3,1
2021-12-17T00:51Z,M1.2,1
2021-12-18T17:27Z,C6.3,1
2021-12-20T03:08Z,C4.4,1
2021-12-20T11:12Z,M1.8,1
2021-12-21T07:43Z,M1.1,1
2021-12-21T11:31Z,M1.4,1
2021-12-21T19:02Z,C4.9,1
2021-12-22T06:54Z,M1.3,1
2021-12-23T21:55Z,C1.2,1
2021-12-24T09:59Z,C4.2,1
2021-12-28T03:50Z,M1.8,1
2021-12-28T16:00Z,M1.6,1
2022-01-01T07:07Z,M1.1,1
2022-01-12T04:13Z,B7.2,0
2022-01-13T20:24Z,C1.3,1
2022-01-14T01:47Z,M1.8,1
2022-01-14T13:07Z,C4.3,1
2022-01-16T04:56Z,C1.2,1
2022-01-16T19:15Z,C2.4,1
2022-01-17T13:48Z,C2.8,1
2022-01-18T17:01Z,M1.5,1
2022-01-20T05:41Z,M5.5,1
